Uuid,Void/Retire,Name,Description,Format,Foreign uuid,Searchable,Edit privilege,_order:1000
8d871386-c2cc-11de-8d13-0010c6dffd0f,TRUE,Race,Group of persons related by common descent or heredity,java.lang.String,,,,
8d8718c2-c2cc-11de-8d13-0010c6dffd0f,,Birthplace,Location of persons birth,java.lang.String,,,,
8d871afc-c2cc-11de-8d13-0010c6dffd0f,,Citizenship,Country of which this person is a member,java.lang.String,,,,
8d871d18-c2cc-11de-8d13-0010c6dffd0f,,Mother's Name,First or last name of this person's mother,java.lang.String,,,,
8d871f2a-c2cc-11de-8d13-0010c6dffd0f,,Civil Status,Marriage status of this person,org.openmrs.Concept,3cd6df26-26fe-102b-80cb-0017a47871b2,,,
8d872150-c2cc-11de-8d13-0010c6dffd0f,TRUE,Health District,District/region in which this patient' home health center resides,java.lang.String,,,,
8d87236c-c2cc-11de-8d13-0010c6dffd0f,,Health Facility,Specific Location of this person's home health center.,org.openmrs.Location,,,,
98eb3368-0588-4398-ac3f-a244e56cd304,,Education Level,Education Level,org.openmrs.Concept,3cdcc5e4-26fe-102b-80cb-0017a47871b2,,,
cf59a17b-4a05-4052-b014-1d57c1f1d581,,Main Activity,Main Activity,org.openmrs.Concept,3cd97286-26fe-102b-80cb-0017a47871b2,,,
41e86289-9c31-45a2-894f-0dd8ca288773,TRUE,Health Center,Health Facility,org.openmrs.Location,,,,
8b908adf-c964-4959-ad43-e2c7aeaa9c67,,Phone number,Phone number,java.lang.String,,,,
43bb77c6-3914-11e7-a919-92ebcb67fe33,,Peer Educator's Phone Number,Patient's peer educator's prersonal phone number,java.lang.String,,,,
43bb76cc-3914-11e7-a919-92ebcb67fe33,,Peer Educator's Name,Patient's peer educator's first and last name,java.lang.String,,,,
99cc76cc-3914-11e7-a919-92ebcb67fe44,,Contact Person's Phone Number,Contact Person's personal phone number,java.lang.String,,,,
99cc76cc-3914-11e7-a919-92ebcb67fe33,,Contact Person's Name,Contact Person's first and last name,java.lang.String,,,,
c1ed1c60-857f-4018-acd0-10c1b3fc0f4c,,Father's name,First or last name of this person's father,java.lang.String,,,,
14af15e8-0503-431d-a0db-976738557c09,,Profession,Profession,java.lang.String,,,,
0676f57e-a4a9-4a3b-8a17-5a8e2e904a63,,Religion,Religion,java.lang.String,,,,
